Time_stamp,User_id,Id_wisata,Rating,Nama_wisata,Genre,Rating_total
1/5/2022 22:21,Dini,10,4,benteng somba opu,prasejarah,68.6
1/5/2022 22:31,Bambang,1,4,pantai losari,alam,72
1/5/2022 22:31,Bambang,2,4,benteng rotterdam,prasejarah,68.2
1/5/2022 22:31,Bambang,3,4,malino,alam,70.8
1/5/2022 22:31,Bambang,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 22:31,Bambang,5,4,pantai galesong,alam,69
1/5/2022 22:31,Bambang,6,4,wisata londa,budaya,71
1/5/2022 22:31,Bambang,7,4,museum ne'gandeng,budaya,75
1/5/2022 22:31,Bambang,8,5,tanjung bira,alam,77.4
1/5/2022 22:31,Bambang,9,4,masjid 99 kubah,religi,76.2
1/5/2022 22:31,Bambang,10,4,benteng somba opu,prasejarah,68.6
1/5/2022 22:50,Hamba Allah,1,4,pantai losari,alam,72
1/5/2022 22:50,Hamba Allah,2,4,benteng rotterdam,prasejarah,68.2
1/5/2022 22:50,Hamba Allah,3,4,malino,alam,70.8
1/5/2022 22:50,Hamba Allah,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 22:50,Hamba Allah,5,4,pantai galesong,alam,69
1/5/2022 22:50,Hamba Allah,6,4,wisata londa,budaya,71
1/5/2022 22:50,Hamba Allah,7,4,museum ne'gandeng,budaya,75
1/5/2022 22:50,Hamba Allah,8,5,tanjung bira,alam,77.4
1/5/2022 22:50,Hamba Allah,9,5,masjid 99 kubah,religi,76.2
1/5/2022 22:50,Hamba Allah,10,4,benteng somba opu,prasejarah,68.6
1/5/2022 23:14,GOZAL,1,4,pantai losari,alam,72
1/5/2022 23:14,GOZAL,2,4,benteng rotterdam,prasejarah,68.2
1/5/2022 23:14,GOZAL,3,4,malino,alam,70.8
1/5/2022 23:14,GOZAL,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 23:14,GOZAL,5,4,pantai galesong,alam,69
1/5/2022 23:14,GOZAL,6,4,wisata londa,budaya,71
1/5/2022 23:14,GOZAL,7,4,museum ne'gandeng,budaya,75
1/5/2022 23:14,GOZAL,8,5,tanjung bira,alam,77.4
1/5/2022 23:14,GOZAL,9,5,masjid 99 kubah,religi,76.2
1/5/2022 23:14,GOZAL,10,4,benteng somba opu,prasejarah,68.6
1/6/2022 4:37,Lita,1,4,pantai losari,alam,72
1/6/2022 4:37,Lita,2,4,benteng rotterdam,prasejarah,68.2
1/6/2022 4:37,Lita,3,4,malino,alam,70.8
